name,time,records_returned
query_1,6.666234016418457,4
query_2,0.4473390579223633,0
query_2,0.49303412437438965,100
query_4,3.762194871902466,5
query_5,4.229617357254028,5
query_6,1.9417288303375244,1
query_7,6.516347646713257,2
query_8,9.834354400634766,1
query_9,31.15490221977234,25
query_10,2.343061923980713,20
query_11,1.1145975589752197,1048
query_12,1.982717752456665,2
query_14,2.0971944332122803,1
query_15,3.9578349590301514,0
query_16,0.7700803279876709,18314
query_17,4222.522967815399,1
query_18,1.2692947387695312,57
query_19,1.6323719024658203,1
query_20,5664.344211578369,186
query_21,8.625369310379028,100
query_22,1086.090853214264,7
